Country Name,Country Code,Life expectancy at birth
"Hong Kong SAR, China",HKG,85.07804878
Japan,JPN,84.35634146
"Macao SAR, China",MAC,84.244
Switzerland,CHE,83.70487805
Singapore,SGP,83.49756098
Spain,ESP,83.48536585
"Korea, Rep.",KOR,83.22682927
Italy,ITA,83.19756098
Channel Islands,CHI,83.086
Liechtenstein,LIE,83.04146341
Sweden,SWE,82.95853659
Norway,NOR,82.90731707
Australia,AUS,82.9
Israel,ISR,82.80487805
Faroe Islands,FRO,82.74634146
Malta,MLT,82.6
France,FRA,82.57804878
Iceland,ISL,82.56097561
Luxembourg,LUX,82.44634146
Ireland,IRL,82.30243902
Canada,CAN,82.04878049
Euro area,EMU,82.03854822
Netherlands,NLD,82.01219512
Greece,GRC,81.93902439
Bermuda,BMU,81.86658537
Austria,AUT,81.79268293
Finland,FIN,81.78536585
Belgium,BEL,81.74634146
New Zealand,NZL,81.70731707
Slovenia,SVN,81.2804878
United Kingdom,GBR,81.20487805
Denmark,DNK,81.20243902
European Union,EUU,81.06384682
Cyprus,CYP,80.982
Germany,DEU,80.94146341
High income,HIC,80.88736686
Post-demographic dividend,PST,80.79473361
Portugal,PRT,80.68292683
Costa Rica,CRI,80.279
Qatar,QAT,80.227
OECD members,OED,80.20508989
Chile,CHL,80.181
Guam,GUM,80.074
St. Martin (French part),MAF,79.97317073
Puerto Rico,PRI,79.9285122
Virgin Islands (U.S.),VIR,79.66829268
Barbados,BRB,79.19
Czech Republic,CZE,79.12926829
North America,NAC,79.12330258
Lebanon,LBN,78.93
Maldives,MDV,78.921
Cuba,CUB,78.802
United States,USA,78.78780488
Albania,ALB,78.573
Panama,PAN,78.506
Estonia,EST,78.49756098
Croatia,HRV,78.42439024
Europe & Central Asia,ECS,78.03128034
United Arab Emirates,ARE,77.972
Uruguay,URY,77.911
Oman,OMN,77.861
Poland,POL,77.85609756
Turkey,TUR,77.691
French Polynesia,PYF,77.657
New Caledonia,NCL,77.63414634
Slovak Republic,SVK,77.47073171
Bosnia and Herzegovina,BIH,77.401
Bahrain,BHR,77.292
Colombia,COL,77.287
Thailand,THA,77.15
Central Europe and the Baltics,CEB,77.14410292
Antigua and Barbuda,ATG,77.016
Ecuador,ECU,77.01
Sri Lanka,LKA,76.978
China,CHN,76.912
Montenegro,MNE,76.884
Algeria,DZA,76.88
Peru,PER,76.736
Tunisia,TUN,76.699
Morocco,MAR,76.68
"Iran, Islamic Rep.",IRN,76.677
Argentina,ARG,76.667
Late-demographic dividend,LTE,76.43411323
Aruba,ABW,76.293
East Asia & Pacific,EAS,76.26243391
St. Lucia,LCA,76.203
Malaysia,MYS,76.156
Lithuania,LTU,76.13414634
Hungary,HUN,76.02195122
Upper middle income,UMC,75.94306408
Brazil,BRA,75.881
Brunei Darussalam,BRN,75.86
North Macedonia,MKD,75.797
Serbia,SRB,75.68536585
Latin America & Caribbean,LCN,75.60149504
Latin America & Caribbean (excluding high income),LAC,75.59132639
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.52038777
Kuwait,KWT,75.489
Romania,ROU,75.45853659
East Asia & Pacific (IDA & IBRD countries),TEA,75.44133627
East Asia & Pacific (excluding high income),EAP,75.40250587
Vietnam,VNM,75.4
Honduras,HND,75.27
Latvia,LVA,75.23902439
Saudi Arabia,SAU,75.133
Armenia,ARM,75.087
Mexico,MEX,75.054
Bulgaria,BGR,74.91463415
Belize,BLZ,74.623
Jordan,JOR,74.526
Nicaragua,NIC,74.485
Jamaica,JAM,74.475
Guatemala,GTM,74.302
Europe & Central Asia (IDA & IBRD countries),TEC,74.29803698
Middle East & North Africa,MEA,74.27058876
Paraguay,PRY,74.254
Mauritius,MUS,74.23585366
Belarus,BLR,74.22682927
Dominican Republic,DOM,74.081
West Bank and Gaza,PSE,74.053
Seychelles,SYC,73.94390244
Europe & Central Asia (excluding high income),ECA,73.93540012
"Bahamas, The",BHS,73.918
Middle East & North Africa (excluding high income),MNA,73.77758932
Middle East & North Africa (IDA & IBRD countries),TMN,73.77423568
Georgia,GEO,73.767
Caribbean small states,CSS,73.75473231
IBRD only,IBD,73.60672776
Trinidad and Tobago,TTO,73.507
Samoa,WSM,73.321
El Salvador,SLV,73.317
Kazakhstan,KAZ,73.18
Russian Federation,RUS,73.08390244
Azerbaijan,AZE,73.005
Solomon Islands,SLB,72.996
Cabo Verde,CPV,72.981
Libya,LBY,72.913
World,WLD,72.74168946
Syrian Arab Republic,SYR,72.697
Bangladesh,BGD,72.591
St. Vincent and the Grenadines,VCT,72.534
Kosovo,XKX,72.49512195
Grenada,GRD,72.397
"Korea, Dem. People's Rep.",PRK,72.274
"Venezuela, RB",VEN,72.064
Middle income,MIC,72.05086524
"Egypt, Arab Rep.",EGY,71.99
Arab World,ARB,71.98970937
Moldova,MDA,71.901
Ukraine,UKR,71.82731707
Bhutan,BTN,71.777
Uzbekistan,UZB,71.725
Indonesia,IDN,71.716
Suriname,SUR,71.682
Kyrgyz Republic,KGZ,71.6
Bolivia,BOL,71.513
IDA & IBRD total,IBT,71.27078068
Philippines,PHL,71.231
Low & middle income,LMY,71.21274878
Tajikistan,TJK,71.097
Tonga,TON,70.907
Nepal,NPL,70.778
Early-demographic dividend,EAR,70.70120132
Iraq,IRQ,70.604
Vanuatu,VUT,70.474
Sao Tome and Principe,STP,70.385
Pacific island small states,PSS,70.07973149
Guyana,GUY,69.906
Mongolia,MNG,69.87
Cambodia,KHM,69.823
Small states,SST,69.77084699
India,IND,69.656
South Asia,SAS,69.64361743
South Asia (IDA & IBRD),TSA,69.64361743
Botswana,BWA,69.592
Timor-Leste,TLS,69.495
Lower middle income,LMC,69.08849167
Rwanda,RWA,69.024
Other small states,OSS,68.82187619
Kiribati,KIR,68.369
Turkmenistan,TKM,68.191
Senegal,SEN,67.941
Lao PDR,LAO,67.923
"Micronesia, Fed. Sts.",FSM,67.883
Fiji,FJI,67.444
Pakistan,PAK,67.273
Myanmar,MMR,67.134
Djibouti,DJI,67.112
Madagascar,MDG,67.041
Kenya,KEN,66.699
Ethiopia,ETH,66.597
Gabon,GAB,66.467
Eritrea,ERI,66.321
"Yemen, Rep.",YEM,66.125
IDA only,IDX,65.61334387
Tanzania,TZA,65.456
Least developed countries: UN classification,LDC,65.34542124
Sudan,SDN,65.311
Mauritania,MRT,64.925
Afghanistan,AFG,64.833
"Congo, Rep.",COG,64.57
IDA total,IDA,64.53630894
Papua New Guinea,PNG,64.501
Comoros,COM,64.321
Malawi,MWI,64.263
South Africa,ZAF,64.131
Liberia,LBR,64.104
Ghana,GHA,64.074
Africa Eastern and Southern,AFE,64.00519747
Haiti,HTI,64.001
Zambia,ZMB,63.886
Low income,LIC,63.72774921
Namibia,NAM,63.708
Heavily indebted poor countries (HIPC),HPC,63.48645533
Uganda,UGA,63.368
Fragile and conflict affected situations,FCS,62.48008834
Niger,NER,62.42
IDA blend,IDB,62.40899722
"Gambia, The",GMB,62.05
Benin,BEN,61.771
Sub-Saharan Africa,SSF,61.62744251
Sub-Saharan Africa (IDA & IBRD countries),TSS,61.62744251
Sub-Saharan Africa (excluding high income),SSA,61.6263562
Guinea,GIN,61.602
Burundi,BDI,61.584
Burkina Faso,BFA,61.577
Zimbabwe,ZWE,61.49
Pre-demographic dividend,PRE,61.17597806
Angola,AGO,61.147
Togo,TGO,61.042
Mozambique,MOZ,60.854
"Congo, Dem. Rep.",COD,60.681
Eswatini,SWZ,60.194
Mali,MLI,59.306
Cameroon,CMR,59.292
Equatorial Guinea,GNQ,58.735
Guinea-Bissau,GNB,58.322
Africa Western and Central,AFW,58.11572272
South Sudan,SSD,57.846
Cote d'Ivoire,CIV,57.783
Somalia,SOM,57.397
Sierra Leone,SLE,54.696
Nigeria,NGA,54.687
Lesotho,LSO,54.331
Chad,TCD,54.239
Central African Republic,CAF,53.283
Andorra,AND,
American Samoa,ASM,
Curacao,CUW,
Cayman Islands,CYM,
Dominica,DMA,
Gibraltar,GIB,
Greenland,GRL,
Isle of Man,IMN,
Not classified,INX,
St. Kitts and Nevis,KNA,
Monaco,MCO,
Marshall Islands,MHL,
Northern Mariana Islands,MNP,
Nauru,NRU,
Palau,PLW,
San Marino,SMR,
Sint Maarten (Dutch part),SXM,
Turks and Caicos Islands,TCA,
Tuvalu,TUV,
British Virgin Islands,VGB,
